Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Image,Photographer,Caption,Gallery Order
BAZZLES_BW_2,bazzles-bw-2,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c9551b1db557cf43652,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:12:53 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47ea650ddf414448499b6_BAZZLES_BW_2-web.webp,Unknown,Gianna Madrini meeting and interviewing the Bazzle's in their home.,13
BAZZLES_BW_6,bazzles-bw-6,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95ab2e4b6fc3e26fd9,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:15:50 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e9e6bbb63995f28f194_BAZZLES_BW_6-web.webp,Unknown,The Bazzles wearing Deep Ellum Unity T-Shirts standing in front of a mural of Charlie Crockett,21
BAZZLES_BW_15,bazzles-bw-15,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95fb5e3667015cd929,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:19:29 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e9503844b69da75ccf1_BAZZLES_BW_15-web.webp,Unknown,"Living room with exposed brick wall and leopard print furniture, a sofa, and two chairs with plant patterns encircling a glass coffee table.",27
IMG_8234,img-8234,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c951a903b2dcb242399,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:15:57 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e870ab646ba34e3137a_IMG_8234-web.webp,Karlo Ramos,A collection of glass snifters with Lead Belly Whiskey at Deep Ellum Distillery.,22
IMG_8277,img-8277,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c955a7fd262be100392,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:14:22 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e7d421846966c40d981_IMG_8277-web.webp,Karlo Ramos,"D Magazine with the headline ""The World's Best Bourbon (Is Right Here In North Texas).""",16
MBP_SELECTS_RESIZED_11,mbp-selects-resized-11,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95f4e67278d75a8aba,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:16:12 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e472b6334e96c8b587a_MBP_SELECTS_RESIZED_11-web.webp,Unknown,Live performance of Mississippi Bastard Project on a patio in Deep Ellum.,23
RESISTENCIA_BW_7,resistencia-bw-7,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c950de821c04058dad6,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:12:06 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e3466a1fd41f094c149_RESISTENCIA_BW_7-web.webp,Unknown,Juanita Rojas of La Resistencia preparing fish.,9
IMG_8264,img-8264,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95504031869440dd42,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:12:45 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47de339124535d245366e_IMG_8264-web.webp,Karlo Ramos,Motorcycle parked inside Deep Ellum Distillery.,12
MBP_SELECTS_RESIZED,mbp-selects-resized,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95782728af216d13a9,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:12:40 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47e1f3e941c39c4b2b8f1_MBP_SELECTS_RESIZED-web.webp,Unknown,Live performance of Mississippi Bastard Project on a patio in Deep Ellum.,11
IMG_8238,img-8238,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95501918e52c8b338b,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:12:31 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d9c4f28dc377365a022_IMG_8238-web.webp,Karlo Ramos,Bottle of Lead Belly Whisky from Deep Ellum Distillery.,10
RESISTENCIA_BW_3,resistencia-bw-3,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c94eb769c84cce80994,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:15:18 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d6dedc59111cce16074_RESISTENCIA_BW_3-web.webp,Karlo Ramos,"Chef Gino Rojas (left) and his mother, Juanita Rojas (right), owners of La Resistencia in Deep Ellum.",19
T-SHIRTS_BLADECRAFT_5,t-shirts-bladecraft-5,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c94e0010db4ae5c89f9,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:14:12 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d5b3e5dd6965a547517_T-SHIRTS_BLADECRAFT_5-web.webp,Karlo Ramos,"Lilly Benitez, owner of Bladecraft Barber Academy (closed), wearing a Deep Ellum Unity T-shirt.",15
T-SHIRTS_PETE_2,t-shirts-pete-2,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c940de821c04058da47,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:16:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d529b4ca29d9c24acbd_T-SHIRTS_PETE_2-web.webp,Karlo Ramos,"Pete Freedman, Co-Founder of Central Track, wearing a Deep Ellum Unity T-shirt.",25
T-SHIRTS_mike,t-shirts-mike,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c9488eb30426a9e902b,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:14:31 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d47f4e67278d75b4cfa_T-SHIRTS_mike-web.webp,Karlo Ramos,"Mike Snider, owner of All Good Cafe in Deep Ellum, wearing Deep Ellum Unity T-shirt.",17
Jimmy_NIWA_DE100-02779,jimmy-niwa-de100-02779,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c9456e4d0f560ecd995,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 16:50:55 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d3503844b69da749487_Jimmy_NIWA_DE100-02779-web.webp,Karlo Ramos,Niwa Japanese BBQ order reciepts,4
FREEMAN_BW_2,freeman-bw-2,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c944b8015714504edc4,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 16:47:41 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d2288eb30426a9f2894_FREEMAN_BW_2-web.webp,Karlo Ramos,The Free Man's Neon Deep Ellum sign,1
Jimmy_NIWA_DE100-109852,jimmy-niwa-de100-109852,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c94f04d7ee0ef8eecac,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:11:34 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47d102b6334e96c8a3f7b_Jimmy_NIWA_DE100-109852-web.webp,Karlo Ramos,"Jimmy Niwa, owner of Niwa Japanese BBQ in Deep Ellum, standing in front of mural.",6
T-SHIRTS__23,t-shirts-23,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c94db6ca44288aebe2f,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47cfc782728af216d9c78_T-SHIRTS__23-web.webp,Unknown,Man with tatoos wearing a Deep Ellum Unity T-shirt.,7
Jimmy_NIWA_DE100-109686,jimmy-niwa-de100-109686,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c94782728af216d1312,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:12:00 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47ce35d9872619946d94c_Jimmy_NIWA_DE100-109686-web.webp,Karlo Ramos,Niwa Japanese BBQ storefront at night with cars parked out front.,8
IMG_8259,img-8259,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c94690bee8aaf4e05d9,Wed Sep 25 2024 21:11:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:11:26 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47cb78de2917606e4a5cd_IMG_8259-web.webp,Karlo Ramos,Deep Ellum distillery barrels,5
